zoom,epoch,batch_id,loss
2,1,44,28.5
2,1,45,30.5
2,1,46,22.25
2,1,47,33.5
2,2,0,39.875
2,2,1,34.875
2,2,2,36.375
2,2,3,49.5
2,2,4,29.0
2,2,5,35.0
2,2,6,36.375
2,2,7,45.25
2,2,8,36.375
2,2,9,51.875
2,2,10,34.625
2,2,11,30.0
2,2,12,45.5
2,2,13,29.0
2,2,14,31.5
2,2,15,37.0
2,2,16,32.375
2,2,17,22.625
2,2,18,31.5
2,2,19,27.5
2,2,20,53.0
2,2,21,37.0
2,2,22,24.0
2,2,23,33.25
2,2,24,54.5
2,2,25,43.875
2,2,26,27.125
2,2,27,27.0
2,2,28,43.5
2,2,29,36.5
2,2,30,35.75
2,2,31,39.875
2,2,32,30.0
2,2,33,25.0
2,2,34,41.125
2,2,35,41.5
2,2,36,28.25
2,2,37,58.0
2,2,38,28.5
2,2,39,47.0
2,2,40,42.25
2,2,41,52.625
2,2,42,21.5
2,2,43,28.375
2,2,44,233.0
2,2,45,32.0
2,2,46,42.0
2,2,47,34.0
2,0,0,67.75
2,0,1,92.0
2,0,2,34.125
2,0,3,39.5
2,0,4,34.25
2,0,5,25.25
2,0,6,37.0
2,0,7,25.25
2,0,8,40.0
2,0,9,59.0
2,0,10,50.25
2,0,11,33.375
2,0,12,34.75
2,0,13,42.0
2,0,14,28.0
2,0,15,31.5
2,0,16,47.5
2,0,17,25.375
2,0,18,25.125
2,0,19,32.375
2,0,20,48.0
2,0,21,40.5
2,0,22,39.25
2,0,23,39.625
2,0,24,78.125
2,0,25,55.5
2,0,26,43.0
2,0,27,29.875
2,0,28,22.25
2,0,29,43.0
2,0,30,45.0
2,0,31,52.75
2,0,32,43.25
2,0,33,45.75
2,0,34,39.0
2,0,35,34.875
2,0,36,38.25
2,0,37,28.0
2,0,38,41.25
2,0,39,33.375
2,0,40,37.75
2,0,41,29.5
2,0,42,30.625
2,0,43,42.0
2,0,44,21.125
2,0,45,29.375
2,0,46,28.5
2,0,47,37.625
1,1,0,49.5
1,1,1,53.25
1,1,2,88.5
1,1,3,78.75
1,1,4,73.125
1,1,5,63.75
1,1,6,63.375
1,1,7,46.0
1,1,8,49.0
1,1,9,93.5
1,1,10,87.25
1,1,11,41.875
1,1,12,57.0
1,1,13,48.625
1,1,14,43.75
1,1,15,57.125
1,1,16,44.25
1,1,17,47.375
1,1,18,87.5
1,1,19,47.0
1,1,20,53.5
1,1,21,51.0
1,1,22,59.5
1,1,23,34.0
1,1,24,70.25
1,1,25,84.25
1,1,26,67.5
1,1,27,72.875
1,1,28,87.25
1,1,29,86.5
1,1,30,42.25
1,1,31,41.0
1,1,32,41.75
1,1,33,47.0
1,1,34,58.5
1,1,35,84.625
1,1,36,94.5
1,1,37,86.25
1,1,38,43.0
1,1,39,107.25
1,1,40,70.75
1,1,41,49.0
1,1,42,67.125
1,1,43,90.5
1,1,44,81.5
1,1,45,83.75
1,1,46,65.75
1,1,47,94.0
1,2,0,62.875
1,2,1,83.5
